Hardware config,Submodule Instance,isRTL,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),PE,Padding (dimensions flattened),SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),op_type,outputDataType (bits),parallel_window,ram_style,weightDataType (bits),Total LUT,BRAM (36k eq.),DSP Blocks
t2w4_run22_80_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,2.0,,,2312.0,8.0,,,FMPadding_rtl,,,,,65,0.0,0
t2w4_run22_80_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,4.0,,,1296.0,4.0,,,FMPadding_rtl,,,,,49,0.0,0
t2w4_run22_80_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,4.0,,,FMPadding_rtl,,,,,41,0.0,0
t2w4_run22_80_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,4.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w4_run22_80_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,11.0,,1.0,LabelSelect_hls,8.0,,,,65,0.0,0
t2w4_run22_80_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,2.0,,36.0,,14.0,2048.0,8.0,0.0,256.0,MVAU_hls,4.0,,,3.0,1135,3.0,72
t2w4_run22_80_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,36.0,,12.0,2048.0,4.0,0.0,64.0,MVAU_hls,4.0,,,3.0,1050,2.0,36
t2w4_run22_80_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,8.0,,11.0,2304.0,4.0,0.0,16.0,MVAU_hls,4.0,,,3.0,496,0.5,8
t2w4_run22_80_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,2.0,,11.0,2304.0,4.0,0.0,4.0,MVAU_hls,4.0,,,3.0,657,0.5,2
t2w4_run22_80_modify_folding_BOTH,MVAU_rtl_0,1,,,,,,,,6.0,32.0,,,1.0,,1.0,,11.0,192.0,4.0,1.0,1.0,MVAU_rtl,11.0,,,4.0,102,0.5,1
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,,,,,,,,,,,,,,677,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,331,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,,,,,,323,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_18,1,,,,,,,,,,,,,,,,,,,,,,,,,,83,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_19,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,191,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_20,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_21,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,301,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,84,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.0,0
t2w4_run22_80_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.0,0
t2w4_run7_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,1.0,4.0,,9500.0,8.0,,,ConvolutionInputGenerator_rtl,8.0,0.0,distributed,,257,0.0,0
t2w4_run7_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,1.0,4.0,,9840.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,277,0.0,0
t2w4_run7_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,170,0.0,0
t2w4_run7_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,176,0.0,0
t2w4_run7_20_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,FMPadding_rtl,,,,,51,0.0,0
t2w4_run7_20_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,1.0,,,5184.0,4.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w4_run7_20_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,4.0,,,FMPadding_rtl,,,,,41,0.0,0
t2w4_run7_20_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,4.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w4_run7_20_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,11.0,,1.0,LabelSelect_hls,8.0,,,,65,0.0,0
t2w4_run7_20_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,12.0,,14.0,12288.0,8.0,0.0,256.0,MVAU_hls,4.0,,,3.0,646,1.0,12
t2w4_run7_20_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,6.0,,12.0,12288.0,4.0,0.0,64.0,MVAU_hls,4.0,,,3.0,584,0.5,6
t2w4_run7_20_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,2.0,,11.0,9216.0,4.0,0.0,16.0,MVAU_hls,4.0,,,3.0,501,0.5,2
t2w4_run7_20_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,11.0,4608.0,4.0,0.0,4.0,MVAU_hls,4.0,,,3.0,802,0.5,1
t2w4_run7_20_modify_folding_BOTH,MVAU_rtl_0,1,,,,,,,,6.0,32.0,,,1.0,,1.0,,11.0,192.0,4.0,1.0,1.0,MVAU_rtl,11.0,,,4.0,102,0.5,1
t2w4_run7_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,319,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,32,2.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,49,1.5,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,125,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,62,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,,,,,,155,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run7_20_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,2.0,4.0,,4750.0,8.0,,,ConvolutionInputGenerator_rtl,8.0,0.0,distributed,,242,0.0,0
t2w4_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,2.0,4.0,,4920.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,254,0.0,0
t2w4_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,170,0.0,0
t2w4_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,176,0.0,0
t2w4_run12_40_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,FMPadding_rtl,,,,,51,0.0,0
t2w4_run12_40_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,1.0,,,5184.0,4.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w4_run12_40_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,4.0,,,FMPadding_rtl,,,,,41,0.0,0
t2w4_run12_40_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,4.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w4_run12_40_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,11.0,,1.0,LabelSelect_hls,8.0,,,,65,0.0,0
t2w4_run12_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,36.0,,14.0,4096.0,8.0,0.0,256.0,MVAU_hls,4.0,,,3.0,739,2.0,36
t2w4_run12_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,12.0,,12.0,6144.0,4.0,0.0,64.0,MVAU_hls,4.0,,,3.0,662,1.0,12
t2w4_run12_40_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,3.0,,11.0,6144.0,4.0,0.0,16.0,MVAU_hls,4.0,,,3.0,481,0.5,3
t2w4_run12_40_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,11.0,4608.0,4.0,0.0,4.0,MVAU_hls,4.0,,,3.0,802,0.5,1
t2w4_run12_40_modify_folding_BOTH,MVAU_rtl_0,1,,,,,,,,6.0,32.0,,,1.0,,1.0,,11.0,192.0,4.0,1.0,1.0,MVAU_rtl,11.0,,,4.0,102,0.5,1
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,319,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_18,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_19,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,170,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,301,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.5,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,,,,,,49,1.0,0
t2w4_run6_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,1.0,4.0,,9500.0,8.0,,,ConvolutionInputGenerator_rtl,8.0,0.0,distributed,,257,0.0,0
t2w4_run6_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,1.0,4.0,,9840.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,277,0.0,0
t2w4_run6_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,170,0.0,0
t2w4_run6_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,4.0,,,ConvolutionInputGenerator_rtl,4.0,0.0,distributed,,176,0.0,0
t2w4_run6_20_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,FMPadding_rtl,,,,,51,0.0,0
t2w4_run6_20_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,1.0,,,5184.0,4.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w4_run6_20_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,4.0,,,FMPadding_rtl,,,,,41,0.0,0
t2w4_run6_20_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,4.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w4_run6_20_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,11.0,,1.0,LabelSelect_hls,8.0,,,,65,0.0,0
t2w4_run6_20_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,9.0,,14.0,16384.0,8.0,0.0,256.0,MVAU_hls,4.0,,,3.0,650,0.5,9
t2w4_run6_20_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,6.0,,12.0,12288.0,4.0,0.0,64.0,MVAU_hls,4.0,,,3.0,584,0.5,6
t2w4_run6_20_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,2.0,,11.0,9216.0,4.0,0.0,16.0,MVAU_hls,4.0,,,3.0,501,0.5,2
t2w4_run6_20_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,11.0,4608.0,4.0,0.0,4.0,MVAU_hls,4.0,,,3.0,802,0.5,1
t2w4_run6_20_modify_folding_BOTH,MVAU_rtl_0,1,,,,,,,,6.0,32.0,,,1.0,,1.0,,11.0,192.0,4.0,1.0,1.0,MVAU_rtl,11.0,,,4.0,102,0.5,1
t2w4_run6_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,319,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,32,2.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,46,2.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,105,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,,,,,,109,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w4_run6_20_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w8_run8_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,1.0,4.0,,9500.0,8.0,,,ConvolutionInputGenerator_rtl,8.0,0.0,distributed,,257,0.0,0
t2w8_run8_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,1.0,4.0,,9840.0,8.0,,,ConvolutionInputGenerator_rtl,8.0,0.0,distributed,,366,0.0,0
t2w8_run8_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,8.0,,,ConvolutionInputGenerator_rtl,8.0,0.0,distributed,,192,0.0,0
t2w8_run8_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,8.0,,,ConvolutionInputGenerator_rtl,8.0,0.0,distributed,,205,0.0,0
t2w8_run8_40_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,FMPadding_rtl,,,,,51,0.0,0
t2w8_run8_40_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,1.0,,,5184.0,8.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w8_run8_40_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,8.0,,,FMPadding_rtl,,,,,41,0.0,0
t2w8_run8_40_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,8.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w8_run8_40_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,18.0,,1.0,LabelSelect_hls,8.0,,,,90,0.0,0
t2w8_run8_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,18.0,,18.0,8192.0,8.0,0.0,256.0,MVAU_hls,8.0,,,7.0,3305,2.0,18
t2w8_run8_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,8.0,,20.0,9216.0,8.0,0.0,64.0,MVAU_hls,8.0,,,8.0,3660,1.0,8
